log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency,Layer 1 Hidden Covariance,Layer 2 Hidden Covariance,Layer 3 Hidden Covariance
log_stats_model_1010693_2020-04-21_15-10-14_999967455.json,4.758386705,116.5577321,6.864900901,503.6977432,273624.7188,-71.10726427,0.516597304,2.921978027,0.998035487,16591063.05,0.073923454,49683.65234,-1893.387705,-2469.279526,-4103.979268
log_stats_model_1010694_2020-04-13_17-52-25_999938563.json,4.629383272,102.4508603,6.678788289,392.2799888,3751159.75,-71.06275222,0.501219963,124.1652604,0.999829196,82693685167,0.063928521,68658.5,-107497.724,-10645582.26,-24019748.52
log_stats_model_1010695_2020-04-24_04-42-50_999940291.json,4.808175393,122.5078847,6.936730795,475.1646207,4788165.5,-71.13142253,0.503636771,40.35536069,0.999421502,1179758668,0.065920045,450628.75,-581553.2637,-10332104.49,-14102976.29
log_stats_model_1010696_2020-04-10_23-42-16_999929312.json,4.763310701,117.1330773,6.872004726,582.4164315,3400632,-71.13142253,0.506124913,11.80647264,0.999457554,313479384.9,0.066278952,138447.5469,-6834.353711,-7431.874764,-3298.254586
log_stats_model_1010699_2020-04-25_02-00-56_999998378.json,5.067752579,158.8169973,7.311221514,545.0673586,10056988,-71.10689558,0.500017845,19383.0803,0.999994076,4.01E+17,0.06261936,281792.5625,-8001.968237,-21928.02635,-18640.73338
log_stats_model_1010700_2020-04-11_04-38-13_999946780.json,4.736861738,114.0756401,6.833846939,555.6498817,470869.5625,-71.12382814,0.509116497,9.695625632,0.998829515,62844086.18,0.069380179,32432.10156,-3572.674065,-43748.13438,-339476.5342
log_stats_model_1010701_2020-04-24_03-48-49_999987806.json,5.144904572,171.5551127,7.422528312,385.0166509,1714546.5,-71.08880176,0.500087848,3610.63269,0.999977272,5.14E+15,0.062628666,225114.3594,-4568888.402,-45526013.93,-38779570.36
log_stats_model_1010702_2020-04-21_19-03-40_999939682.json,4.670936362,106.797697,6.738736726,410.8045637,5633119,-71.13976749,0.502154078,73.9906344,0.999652668,9324198942,0.064629016,443000.125,-133843.476,-1016884.535,-768326.8178
log_stats_model_1010703_2020-04-18_23-21-10_999934609.json,5.022708041,151.8218875,7.246235983,282.2067328,5148585,-71.07374255,0.50000072,240773.5856,0.999999772,8.29E+22,0.062503333,810242.9375,-3699013.634,-24197256.07,-30531793.62
log_stats_model_1010706_2020-04-22_06-18-07_999915712.json,4.861963957,129.2778491,7.01433129,525.0573277,462907.25,-71.10908375,0.51476035,3.204363764,0.998503836,20264792.08,0.072992538,29981.98047,-7918.456189,-2293781.364,-11972164.49
