log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency, Layer 1 Hidden Covariance, Layer 2 Hidden Covariance, Layer 3 Hidden Covariance
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.1912397,10479.44531,-63.95777422,0.51916611,-1.736328925,0.997995727,13378689.98,0.075325266,267913.6875,-1893.699492,-2373.66881,-3720.080439
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2024117,10479.80371,-63.94754361,0.519176967,-1.656807357,0.998057614,13388690.08,0.075334118,267845.1875,-1893.922268,-2357.939428,-3708.054628
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2031189,10475.91309,-63.94315186,0.519179686,-1.650898799,0.99805402,13390251.89,0.075330474,267816.1875,-1891.299942,-2386.484417,-3689.958452
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2037851,10475.46777,-63.95016939,0.519175237,-1.659439939,0.998075654,13388785.54,0.075329275,267815.4375,-1891.56198,-2361.460393,-3647.978813
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2014703,10477.92578,-63.96199687,0.519169198,-1.672876795,0.998069845,13394135.29,0.075324279,267797.5938,-1892.504896,-2372.806247,-3653.414083
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.1811342,10479.87891,-63.98194625,0.519160625,-1.6779999,0.998072082,13408947.74,0.075315071,267775.8125,-1886.155436,-2372.464205,-3690.244955
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.1809767,10479.07324,-63.97248967,0.51916911,-1.595689079,0.998124841,13413581.98,0.075325178,267843.25,-1890.791765,-2380.069478,-3717.480847
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.1864247,10479.9375,-63.96188736,0.51917199,-1.651233868,0.998066109,13404433.9,0.075317471,267821.6563,-1886.403393,-2361.538146,-3687.12095
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3616956,79271.76563,-204.9703204,0.504660668,-19.16561007,0.999530378,903976794.8,0.065369102,680724.125,-12956.93584,-13795.17261,-5148.806966
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3539213,79274.48438,-204.9526647,0.504662173,-18.88444314,0.999540286,906368667.7,0.065367405,680717.6875,-12963.96463,-13813.72381,-5162.26193
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3423432,79296.5,-204.9000902,0.504662459,-18.86070899,0.999537037,905106977.7,0.065368474,680942.6875,-12984.35229,-13847.25422,-5161.433281
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3475407,79275.39063,-204.8816945,0.504663153,-18.62018515,0.999544513,904420091.4,0.065369834,680873.75,-12998.75587,-13830.75099,-5162.155148
