log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synflow Saliency, Layer 1 Hidden Covariance, Layer 2 Hidden Covariance, Layer 3 Hidden Covariance
log_stats_model_1003424_2020-04-22_06-45-47_999996414.json,4.734867429,113.8483648,6.830969759,477.4064832,8963057,-151600.1806,0.500007814,-36224.27686,0.9999975,1.18E+19,0.062535873,3011039.5,-85116.7194,-1176882.582,-2379636.966
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.2156031,10475.04395,-63.94030887,0.519171724,-1.704170876,0.998026624,13374972.16,0.07532769,267800.3438,-1886.699231,-2360.158279,-3661.881345
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,540.6562645,8565.705078,-66.91505189,0.517529326,-2.055268052,0.998280082,15272251.14,0.074594626,224651.8594,-1894.364702,-2449.258238,-3296.13769
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.3086655,8305.883789,-68.31921684,0.516844178,-2.853556646,0.997975848,15996262.36,0.074524866,231171.8281,-1906.860196,-2347.580385,-3572.565687
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,539.612758,8351.037109,-66.88624952,0.517576903,-2.044671865,0.998273962,15396388.88,0.074335878,241678.8906,-1857.327147,-2453.618467,-3540.805917
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,541.4166543,8478.126953,-67.28906727,0.517320535,-2.48759802,0.998040564,15453669.96,0.07448277,244576.4688,-1882.562708,-2241.188074,-3352.95504
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,540.7414131,9785.767578,-67.42999808,0.517111177,-2.255835045,0.998199821,15742105.23,0.074101434,255847.1406,-1923.576957,-2639.857663,-3388.485768
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,542.8279168,8476.994141,-63.90044304,0.51924055,-1.701930471,0.99802857,13247414.61,0.075656943,238036.25,-1984.877779,-2157.447454,-3241.628541
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,540.3890517,9935.220703,-64.02078511,0.519213144,-1.663895053,0.998089977,13500972.34,0.075173314,259737.9688,-1895.882711,-2460.240753,-3765.533979
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,540.3337534,7501.528809,-67.28619501,0.517324182,-2.473771926,0.998049297,15351544.69,0.074726529,226337.0313,-1877.619947,-2289.870893,-3494.497639
log_stats_model_1006809_2020-04-14_02-17-10_999987074.json,4.755303244,116.1988844,6.860452408,538.5389601,8756.50293,-62.70653644,0.520107285,-1.494275583,0.997927872,12550843.45,0.076071575,239250.8281,-1879.034176,-2444.288775,-3751.933024
log_stats_model_1004163_2020-04-21_07-14-54_999984871.json,4.830785362,125.3093353,6.969350086,587.3616956,79271.76563,-204.9703204,0.504660668,-19.16561007,0.999530378,903976794.8,0.065369102,680724.125,-12956.93584,-13795.17261,-5148.806966
