ID,GLUE Score,Synaptic Diversity,Synaptic Diversity Normalized,Synaptic Saliency,Synaptic Saliency Normalized,Activation Distance,Activation Distance Normalized,Jacobian Score,Jacobian Score Normalized,Number of Parameters,Head Importance,Head Importance Normalized,Head Confidence,Head Confidence Normalized,Head Softmax Confidence,Head Softmax Confidence Normalized
337,67.12875000000001,0.07736653089523315,0.007736653089523315,0.009608502499759197,0.0024021256249397993,30907140096.0,175608752.0,-100265.34127666299,0.5674723527401171,5555977,0.0009119678288698196,0.00013028111425228417,25.69745445251465,0.4758787751197815,0.03670074790716171,0.002038930542767048
337,67.12875000000001,0.07616850733757019,0.007616850547492504,0.009442667476832867,0.0023606668692082167,31591706624.0,175509488.0,-100265.79716480631,0.5682166395511059,5555977,0.0008698987076058984,0.0001242712460225448,28.548471450805664,0.4758078455924988,0.04077835753560066,0.0020389179699122906
464,69.21375,0.716255784034729,0.04476598650217056,0.004617528989911079,0.00038479408249258995,115867197440.0,154078720.0,-100315.04155413639,0.5689789308425783,11200650,0.003363101277500391,0.00028025844949297607,6.745347023010254,0.6132133603096008,0.021575404331088066,0.0053938510827720165
464,69.21375,0.707969069480896,0.044248066842556,0.004483537748456001,0.00037362813600338995,120690835456.0,153942400.0,-100314.41965422207,0.5691950150136835,11200650,0.0033523335587233305,0.00027936112019233406,13.490856170654297,0.613220751285553,0.043156493455171585,0.005394561681896448
464,69.21375,0.7129504680633545,0.044559404253959656,0.0045232311822474,0.00037693593185395,125474021376.0,153767184.0,-100309.93677251092,0.5689323979109495,11200650,0.0033644437789916992,0.00028037032461725175,20.23198127746582,0.6130903363227844,0.06471894681453705,0.0053932457230985165
464,69.21375,0.6992644667625427,0.04370402917265892,0.0044579580426216125,0.00037149651325307786,130512936960.0,153906768.0,-100310.0147000976,0.5690335282433909,11200650,0.0032812166027724743,0.00027343470719642937,26.98552894592285,0.6133074760437012,0.08629631996154785,0.005393519997596741
464,69.21375,0.7241024374961853,0.04525640234351158,0.004607058595865965,0.0003839215496554971,135471489024.0,153944880.0,-100308.12131282376,0.5696227228811599,11200650,0.003445112146437168,0.0002870926691684872,33.718875885009766,0.6130704879760742,0.10787383466959,0.005393691826611757
464,69.21375,0.7086871266365051,0.04429294541478157,0.00454308558255434,0.0003785904555115849,140426428416.0,153976352.0,-100315.79994073442,0.5688104151528619,11200650,0.0033402356784790754,0.0002783529635053128,40.477806091308594,0.613300085067749,0.12943686544895172,0.005393202882260084
464,69.21375,0.71357661485672,0.044598538428545,0.004539947025477886,0.00037832892849110067,145351245824.0,153973776.0,-100316.77325170628,0.5690978757788401,11200650,0.0033838010858744383,0.0002819834335241467,47.218711853027344,0.6132300496101379,0.1510378122329712,0.005394207779318094
464,69.21375,0.7118825316429138,0.044492658227682114,0.004538936540484428,0.0003782447020057589,150258483200.0,153953360.0,-100313.46694936906,0.5690632447395751,11200650,0.0033545095939189196,0.00027954246615990996,53.96568298339844,0.6132463812828064,0.1726297289133072,0.00539467902854085
464,69.21375,0.7225593328475952,0.0451599583029747,0.004638337995857,0.0003865281760226935,155155513344.0,153924128.0,-100311.57409289651,0.569079583958086,11200650,0.0034513771533966064,0.00028761476278305054,60.69025802612305,0.6130329370498657,0.19421133399009705,0.005394759122282267
464,69.21375,0.7137042880058289,0.044606518000364304,0.004552618600428104,0.0003793848736677319,160046432256.0,153890800.0,-100314.36505009086,0.5688573836765614,11200650,0.003430864540860057,0.00028590537840500474,67.45526885986328,0.6132296919822693,0.21577320992946625,0.005394330248236656
166,69.66875,1.5708050727844238,0.12083116173744202,0.006947177927941084,0.0005789314745925367,155024211968.0,144612144.0,-100425.59059355139,0.5655057786270501,11004818,0.007803414482623339,0.0007803414482623339,7.11334753036499,0.7903719544410706,0.08047257363796234,0.020118143409490585
